Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
296296,86186380,8192,8192,0,79.623,3854.93,1000,0,0,0,0,0,0,0,12,1394,22,0,0,0,1895276,27742,0,42.1724,170,0,0,0,0
296498,86186380,8192,8192,0,79.049,3553.4,1000,0,0,0,0,0,0,0,12,764,0,0,44,22,1039040,0,0,41.1805,170,0,0,0,0
296764,86186380,8192,8192,0,78.877,3489.8,1000,0,0,0,0,0,0,0,12,912,0,0,0,0,1240132,0,0,37.3278,170,0,0,0,0
297066,86186380,8192,8192,0,79.275,3463.92,1000,0,0,0,0,0,0,0,12,1080,0,0,0,0,1468800,0,0,38.8687,170,0,0,0,0
297339,86186380,8192,8192,0,78.854,3803.28,1000,0,0,0,0,0,0,0,12,1440,0,0,0,0,1958212,0,0,57.4401,170,0,0,0,0
297505,86186380,8192,8192,0,78.731,3346.16,1000,0,0,0,0,0,0,0,12,744,0,0,0,0,1011840,0,0,48.7769,170,0,0,0,0
297728,86186380,8192,8192,0,78.866,3625.01,1000,0,0,0,0,0,0,0,12,840,0,0,0,0,1141836,0,0,40.7857,170,0,0,0,0
297962,86186380,8192,8192,0,78.776,3954.55,1000,0,0,0,0,0,0,0,12,864,0,0,0,0,1175040,0,0,40.3222,170,0,0,0,0
298282,86186380,8192,8192,0,79.272,3267.86,1000,0,0,0,0,0,0,0,12,1056,0,0,0,0,1435784,0,0,35.834,170,0,0,0,0
298505,86186380,8192,8192,0,79.036,3793.1,1000,0,0,0,0,0,0,0,12,1008,0,0,0,0,1369752,0,0,49.2261,170,0,0,0,0
298782,86186380,8192,8192,0,79.568,3864.41,1000,0,0,0,0,0,0,0,12,1080,0,0,0,0,1468424,0,0,42.3535,170,0,0,0,0
299051,86186380,8192,8192,0,78.917,3582.1,1000,0,0,0,0,0,0,0,12,912,0,0,0,0,1240320,0,0,36.8867,170,0,0,0,0
299329,86186380,8192,8192,0,78.865,4118.35,1000,0,0,0,0,0,0,0,12,1296,0,0,0,0,1762184,0,0,50.7202,170,0,0,0,0
299512,86186380,8192,8192,0,78.852,4122.71,1000,0,0,0,0,0,0,0,12,1056,0,0,0,0,1435784,0,0,62.7864,170,0,0,0,0
299702,86186380,8192,8192,0,78.723,4671.14,1000,0,0,0,0,0,0,0,12,792,0,0,0,0,1077120,0,0,45.4745,170,0,0,0,0
299940,86186380,8192,8192,0,80.217,4472.05,1000,0,0,0,0,0,0,0,12,960,0,0,0,0,1305600,0,0,43.7946,170,0,0,0,0
300176,86186380,8192,8192,0,79.197,4564.43,1000,0,0,0,0,0,0,0,12,984,0,0,0,0,1338240,0,0,45.295,170,0,0,0,0
300436,86186380,8192,8192,0,78.886,3762.17,1000,0,0,0,0,0,0,0,12,936,0,0,0,0,1272960,0,0,39.2225,170,0,0,0,0
300715,86186380,8192,8192,0,78.991,3976.75,1000,0,0,0,0,0,0,0,12,1080,0,0,0,0,1468048,0,0,42.0652,170,0,0,0,0
300973,86186380,8192,8192,0,79.459,5057.86,1000,0,0,0,0,0,0,0,12,1135,17,0,0,0,1543224,21437,0,47.8935,170,0,0,0,0
301183,86186380,8192,8192,0,79.034,4872.19,1000,0,0,0,0,0,0,0,12,826,0,0,34,17,1123360,0,0,42.853,170,0,0,0,0
301450,86186380,8192,8192,0,79.13,3387.56,1000,0,0,0,0,0,0,0,12,1008,0,0,0,0,1370692,0,0,41.0029,170,0,0,0,0
301735,86186380,8192,8192,0,78.941,4022.35,1000,0,0,0,0,0,0,0,12,1272,0,0,0,0,1729920,0,0,48.6589,170,0,0,0,0
301951,86186380,8192,8192,0,79.34,4333.34,1000,0,0,0,0,0,0,0,12,792,0,0,0,0,1076744,0,0,39.8755,170,0,0,0,0
302202,86186380,8192,8192,0,79.136,3206.9,1000,0,0,0,0,0,0,0,12,1008,0,0,0,0,1370692,0,0,43.6469,170,0,0,0,0
302421,86186380,8192,8192,0,78.804,4590.61,1000,0,0,0,0,0,0,0,12,963,3,0,6,3,1309492,3783,0,47.7375,170,0,0,0,0
302698,86186380,8192,8192,0,78.766,3282.52,1000,0,0,0,0,0,0,0,12,1008,0,0,0,0,1370880,0,0,39.6215,170,0,0,0,0
302952,86186380,8192,8192,0,79.478,3636.37,1000,0,0,0,0,0,0,0,12,864,0,0,0,0,1175040,0,0,36.9741,170,0,0,0,0
303240,86186380,8192,8192,0,78.867,4397.52,1000,0,0,0,0,0,0,0,12,1152,0,0,0,0,1566720,0,0,43.5823,170,0,0,0,0
303480,86186380,8192,8192,0,79.164,4350,1000,0,0,0,0,0,0,0,12,1080,0,0,0,0,1468800,0,0,48.8852,170,0,0,0,0
303727,86186380,8192,8192,0,78.877,3572.1,1000,0,0,0,0,0,0,0,12,1032,0,0,0,0,1402392,0,0,45.4453,170,0,0,0,0
303954,86186380,8192,8192,0,79.721,3738.7,1000,0,0,0,0,0,0,0,12,648,0,0,0,0,881280,0,0,31.0997,170,0,0,0,0
304273,86186380,8192,8192,0,78.834,3127.97,1000,0,0,0,0,0,0,0,12,1272,0,0,0,0,1729920,0,0,43.415,170,0,0,0,0
304474,86186380,8192,8192,0,78.797,4337.35,1000,0,0,0,0,0,0,0,12,1057,0,0,0,0,1437332,0,0,57.1404,170,0,0,0,0
304714,86186380,8192,8192,0,78.858,4925.38,1000,0,0,0,0,0,0,0,12,911,0,0,0,0,1237832,0,0,41.1609,170,0,0,0,0
304982,86186380,8192,8192,0,78.798,4023.13,1000,0,0,0,0,0,0,0,12,1032,0,0,0,0,1402768,0,0,42.0075,170,0,0,0,0
305231,86186380,8192,8192,0,78.784,4725,1000,0,0,0,0,0,0,0,12,1320,0,0,0,0,1793696,0,0,57.4357,170,0,0,0,0
305396,86186380,8192,8192,0,78.74,4000.01,1000,0,0,0,0,0,0,0,12,816,0,0,0,0,1109760,0,0,54.0759,170,0,0,0,0
305604,86186380,8192,8192,0,78.773,4518.53,1000,0,0,0,0,0,0,0,12,960,0,0,0,0,1304096,0,0,50.1672,170,0,0,0,0
305802,86186380,8192,8192,0,78.903,3954.55,1000,0,0,0,0,0,0,0,12,960,0,0,0,0,1304472,0,0,52.4799,170,0,0,0,0
305998,86186380,8192,8192,0,79.069,3951.23,1000,0,0,0,0,0,0,0,12,1132,0,0,0,0,1539144,0,0,63.0445,170,0,0,0,0
306172,86186380,8192,8192,0,82.008,3386.15,1000,0,0,0,0,0,0,0,12,596,0,0,0,0,810560,0,0,37.2237,170,0,0,0,0
306490,86186380,8192,8192,0,79.04,3112.98,1000,0,0,0,0,0,0,0,12,1200,0,0,0,0,1631812,0,0,40.9811,170,0,0,0,0
306758,86186380,8192,8192,0,78.786,4023.96,1000,0,0,0,0,0,0,0,12,936,0,0,0,0,1272960,0,0,38.0731,170,0,0,0,0
306978,86186380,8192,8192,0,79.454,4024.39,1000,0,0,0,0,0,0,0,12,936,0,0,0,0,1272960,0,0,46.3698,170,0,0,0,0
307267,86186380,8192,8192,0,78.815,4074.08,1000,0,0,0,0,0,0,0,12,1008,0,0,0,0,1370692,0,0,37.9449,170,0,0,0,0
307495,86186380,8192,8192,0,78.823,4253.17,1000,0,0,0,0,0,0,0,12,1056,0,0,0,0,1435596,0,0,50.2598,170,0,0,0,0
307744,86186380,8192,8192,0,79.484,4112.36,1000,0,0,0,0,0,0,0,12,1392,0,0,0,0,1890864,0,0,60.8442,170,0,0,0,0
