Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
259840,468301425,7543,8192,216,78.812,4375.9,1000,1008,0,0,0,1370880,0,38.8559,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
260030,468301425,7551,8192,563,78.732,3874.86,1000,987,0,0,0,1341192,0,56.6439,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
260298,468301425,7551,8192,224,78.91,3699.02,1000,971,14,0,14,1318304,0,39.3535,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
260536,468301425,7422,8192,351,78.885,3822.01,1000,1048,0,0,0,1424340,0,47.7798,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
260759,468301425,7447,8192,456,78.775,4687.66,1000,944,0,0,0,1282712,0,46.1368,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
261000,468301425,7407,8192,245,78.905,3718.01,1000,1029,0,0,0,1399440,0,46.3375,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
261274,468301425,7455,8192,224,78.774,3525.83,1000,1011,0,0,0,1374960,0,40.1664,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
261553,468301425,7551,8192,224,78.798,4079.54,1000,1008,0,0,0,1370880,0,39.2746,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
261829,468301425,7615,8192,289,78.805,3617.08,1000,1009,0,0,0,1372240,0,39.7955,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
262076,468301425,7471,8192,288,79.119,3253.86,1000,1007,0,0,0,1368392,0,44.3718,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
262330,468301425,7455,8192,238,79.012,3854.44,1000,974,0,0,0,1324640,0,41.6988,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
262598,468301425,7502,8192,223,78.735,3584.34,1000,970,0,0,0,1318636,0,39.2915,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
262816,468301425,7513,8192,402,78.955,3397.94,1000,1008,0,0,0,1370316,0,50.4718,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
262973,468301425,7183,8192,588,78.871,3412.94,1000,1040,0,0,0,1413836,0,71.7333,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
263202,468301425,7358,8192,343,78.816,3157.22,1000,976,0,0,0,1327360,0,46.4357,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
263456,468301425,7383,8192,224,79.192,3320.65,1000,1032,0,0,0,1402392,0,44.1931,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
263680,468301425,7454,8192,289,79.127,3423.35,1000,954,0,0,0,1297440,0,46.3937,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
263912,468301425,7423,8192,288,78.954,3998.96,1000,990,0,0,0,1345836,0,46.2473,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
264215,468301425,7702,8192,507,78.807,3474.67,1000,1192,136,0,136,1619992,0,42.845,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
264457,468301425,7519,8192,288,79.197,3784.43,1000,963,28,0,3,1309116,0,43.2599,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
